,occu,raw,proc,compr,crop,cal,flush,pack,start,end,type
0,0.0,0,0,0.0,0,0,0,0,2022-01-19 23:00:00,2022-01-19 23:00:00,<class 'TMclass.PHI_MEMORY'>
1,115200.0,115200,0,0.0,0,0,0,0,2022-01-20 00:00:00,2022-01-22 00:00:00,<class 'TMclass.RAW'>
2,0.0,0,0,0.0,0,0,0,0,2022-01-22 00:00:00,2022-01-22 01:00:00,<function PHI_MEMORY.copy_partition at 0x7f4428701280>
3,-115200.0,-115200,0,0.0,0,0,0,0,2022-01-22 01:00:00,2022-01-22 02:00:00,<function PHI_MEMORY.format_partition at 0x7f44287011f0>
4,115200.0,115200,0,0.0,0,0,0,0,2022-01-22 00:00:00,2022-01-24 00:00:00,<class 'TMclass.RAW'>
5,69120.0,0,0,0.0,69120,0,0,0,2022-01-30 00:00:00,2022-02-01 00:00:00,<class 'TMclass.CROP'>
6,46080.0,0,0,0.0,0,0,0,46080,2022-02-01 00:00:00,2022-02-03 00:00:00,<class 'TMclass.PACK'>
7,0.0,0,0,7324.415999999999,0,0,0,0,2022-02-03 00:00:00,2022-02-05 00:00:00,<class 'TMclass.COMPR'>
8,-230400.0,-115200,0,-7324.415999999999,-69120,0,0,-46080,2022-02-05 12:00:00,2022-02-05 13:00:00,<function PHI_MEMORY.format_partition at 0x7f44287011f0>
9,432.0,432,0,0.0,0,0,0,0,2022-02-23 18:30:00,2022-02-23 21:30:00,<class 'TMclass.RAW'>
10,224.0,0,0,0.0,224,0,0,0,2022-02-23 21:30:00,2022-02-23 21:32:00,<class 'TMclass.CROP'>
11,272.0,0,272,0.0,0,0,0,0,2022-02-23 21:32:00,2022-02-23 22:52:00,<class 'TMclass.PROC'>
12,0.0,0,0,9.26432,0,0,0,0,2022-02-23 22:52:00,2022-02-23 22:54:00,<class 'TMclass.COMPR'>
13,432.0,432,0,0.0,0,0,0,0,2022-02-26 07:50:00,2022-02-26 10:50:00,<class 'TMclass.RAW'>
